Precinct,Krasner,Khan,Untermeyer,El_Shabazz,Negrin,Deni,O_Neill,Write_In,DivNo,Winner,WinPercent
20-04,27.16,18.52,9.88,17.28,25.93,1.23,0,0,2004,Krasner,27.16
20-05,13.64,31.82,18.18,9.09,27.27,0,0,0,2005,Khan,31.82
20-06,32.97,17.58,12.64,12.64,22.53,1.1,0.55,0,2006,Krasner,32.97
20-07,36.71,10.13,12.66,18.99,17.72,3.8,0,0,2007,Krasner,36.71
20-08,75,4.17,0,4.17,16.67,0,0,0,2008,Krasner,75
20-09,25.71,22.86,11.43,20,14.29,2.86,2.86,0,2009,Krasner,25.71
20-10,37.74,7.55,16.98,16.98,18.87,1.89,0,0,2010,Krasner,37.74
20-11,68.18,9.09,0,4.55,13.64,4.55,0,0,2011,Krasner,68.18
21-01,43.97,31.9,0,0.86,16.38,1.72,5.17,0,2101,Krasner,43.97
21-02,36.19,39.05,3.81,0.95,11.43,0,8.57,0,2102,Khan,39.05
21-03,29.25,32.08,6.6,13.21,14.15,0.94,3.77,0,2103,Khan,32.08
21-04,34.55,38.18,3.64,0,16.36,1.82,5.45,0,2104,Khan,38.18
21-05,33.33,32.1,7.41,3.09,18.52,1.23,4.32,0,2105,Krasner,33.33
21-06,53.33,22.67,0,1.33,14.67,2.67,5.33,0,2106,Krasner,53.33
21-07,47.54,34.43,0,1.64,6.56,3.28,6.56,0,2107,Krasner,47.54
21-08,43.64,41.82,0,0,10.91,1.82,1.82,0,2108,Krasner,43.64
21-09,29.41,46.08,1.96,0.98,6.86,2.94,11.76,0,2109,Khan,46.08
21-10,43.06,29.17,6.94,2.78,11.11,2.78,4.17,0,2110,Krasner,43.06
21-11,42.99,22.43,5.61,4.67,19.63,0,4.67,0,2111,Krasner,42.99
21-12,37.36,42.86,4.4,1.1,7.69,0,6.59,0,2112,Khan,42.86
21-13,29.67,45.05,1.1,1.1,7.69,2.2,13.19,0,2113,Khan,45.05
21-14,34.29,35.43,0.57,7.43,16,1.71,4.57,0,2114,Khan,35.43
21-15,37.21,36.43,1.55,0.78,13.18,0.78,10.08,0,2115,Krasner,37.21
21-16,29.69,29.69,9.38,0,14.06,4.69,12.5,0,2116,Tie,29.69
21-17,26.19,42.86,6.35,2.38,15.08,0.79,6.35,0,2117,Khan,42.86
21-18,36.19,39.05,3.81,0.95,13.33,2.86,3.81,0,2118,Khan,39.05
21-19,27.71,43.37,1.2,2.41,8.43,0,16.87,0,2119,Khan,43.37
21-20,32,51,0,0,12,0,5,0,2120,Khan,51
21-21,39.76,32.53,2.41,0,10.84,2.41,12.05,0,2121,Krasner,39.76
21-22,29.68,40,5.81,6.45,9.68,1.94,6.45,0,2122,Khan,40
21-23,44.2,22.1,5.52,6.08,17.68,1.1,3.31,0,2123,Krasner,44.2
21-24,48.83,33.33,3.51,1.75,10.82,0.88,0.88,0,2124,Krasner,48.83
21-25,39.32,29.06,4.27,0.85,17.09,1.71,7.69,0,2125,Krasner,39.32
21-26,24.76,39.05,3.81,0.95,13.33,4.76,13.33,0,2126,Khan,39.05
21-27,28.71,35.64,4.95,2.97,18.81,2.97,5.94,0,2127,Khan,35.64
21-28,27.21,33.09,5.88,2.21,17.65,0.74,13.24,0,2128,Khan,33.09
21-29,28.93,33.06,4.96,4.13,16.53,2.48,9.92,0,2129,Khan,33.06
21-30,37.93,26.21,4.14,4.83,21.38,1.38,4.14,0,2130,Krasner,37.93
21-31,17.86,31.25,6.25,0.89,22.32,1.79,19.64,0,2131,Khan,31.25
21-32,16.67,33.33,5.95,4.76,28.57,0,10.71,0,2132,Khan,33.33
21-33,28.17,24.88,7.04,4.23,26.29,1.88,7.51,0,2133,Krasner,28.17
21-34,22.13,30.64,5.53,2.55,27.23,1.28,10.64,0,2134,Khan,30.64
21-35,32.33,35.34,2.26,1.5,11.28,2.26,15.04,0,2135,Khan,35.34
21-36,35.48,25.81,4.84,6.45,16.13,1.61,9.68,0,2136,Krasner,35.48
21-37,34.88,30.23,1.16,2.33,22.09,2.33,6.98,0,2137,Krasner,34.88
21-38,17.59,23.15,6.48,1.85,23.15,0.93,26.85,0,2138,O'Neill,26.85
21-39,29.33,34,4,5.33,15.33,2.67,9.33,0,2139,Khan,34
21-40,23.81,34.92,9.52,4.76,18.25,4.76,3.97,0,2140,Khan,34.92
21-41,22.66,35.16,8.59,4.69,18.75,1.56,8.59,0,2141,Khan,35.16
21-42,17.28,38.27,7.41,3.7,19.75,2.47,11.11,0,2142,Khan,38.27
21-43,18.52,33.33,7.41,3.7,19.75,0,17.28,0,2143,Khan,33.33
21-44,22.68,26.8,7.22,0,30.93,1.03,11.34,0,2144,Negrin,30.93
21-45,28.32,42.2,2.31,0,24.86,1.16,1.16,0,2145,Khan,42.2
22-01,65.16,24.06,1.25,1.25,7.52,0.5,0.25,0,2201,Krasner,65.16
22-02,51.74,30.03,0.27,3.49,14.48,0,0,0,2202,Krasner,51.74
22-03,41.53,33.88,4.37,8.74,9.29,1.09,1.09,0,2203,Krasner,41.53
22-04,58.53,24.88,0.92,7.37,6.91,0.92,0.46,0,2204,Krasner,58.53
22-05,57.65,20,1.96,6.67,11.37,0.78,1.57,0,2205,Krasner,57.65
22-06,57.25,25.36,3.62,5.43,6.16,0.72,1.45,0,2206,Krasner,57.25
22-07,59.75,20.33,2.9,5.39,10.79,0.41,0.41,0,2207,Krasner,59.75
22-08,44.1,26.15,4.62,13.85,8.72,2.05,0.51,0,2208,Krasner,44.1
22-09,59.56,20.59,2.94,13.24,3.68,0,0,0,2209,Krasner,59.56
22-10,47.62,24.29,5.24,14.76,7.14,0.48,0.48,0,2210,Krasner,47.62
22-11,43.24,22.52,3.6,20.72,8.11,0,1.8,0,2211,Krasner,43.24
22-12,31.78,27.1,6.54,19.63,14.95,0,0,0,2212,Krasner,31.78
22-13,66.17,8.27,3.01,13.53,9.02,0,0,0,2213,Krasner,66.17
22-14,34.87,26.32,4.61,22.37,9.87,1.32,0.66,0,2214,Krasner,34.87
22-15,30.37,17.78,8.89,32.59,8.89,0.74,0.74,0,2215,El Shabazz,32.59
22-16,52.03,26.35,2.03,13.51,5.41,0,0.68,0,2216,Krasner,52.03
22-17,49.29,29.86,2.37,11.85,4.74,0.47,1.42,0,2217,Krasner,49.29
22-18,47.22,23.33,5.56,15,6.11,0.56,2.22,0,2218,Krasner,47.22
22-19,53.62,21.01,7.97,10.87,5.07,0.72,0.72,0,2219,Krasner,53.62
22-20,46.22,21.01,4.2,15.13,10.92,1.68,0.84,0,2220,Krasner,46.22
22-21,35.51,32.61,5.8,16.67,5.07,2.9,1.45,0,2221,Krasner,35.51
22-22,32.23,27.27,2.48,30.58,5.79,0,1.65,0,2222,Krasner,32.23
22-23,57.33,22.67,4,6.22,8.44,0.44,0.89,0,2223,Krasner,57.33
22-24,43.57,27.8,3.73,8.3,16.18,0,0.41,0,2224,Krasner,43.57
22-25,43.61,19.55,4.51,20.3,9.77,0,2.26,0,2225,Krasner,43.61
22-26,37.96,27.74,1.46,19.71,10.22,1.46,1.46,0,2226,Krasner,37.96
22-27,40.7,23.62,4.52,24.62,6.03,0,0.5,0,2227,Krasner,40.7
22-28,44.97,26.17,2.68,16.11,8.72,0,1.34,0,2228,Krasner,44.97
22-29,31.69,27.87,5.46,24.59,7.1,2.19,1.09,0,2229,Krasner,31.69
23-01,5,25,10,15,10,0,35,0,2301,O'Neill,35
23-02,25.71,11.43,17.14,14.29,14.29,0,17.14,0,2302,Krasner,25.71
23-03,30.43,13.04,17.39,4.35,13.04,0,21.74,0,2303,Krasner,30.43
23-04,14.93,40.3,8.96,14.93,11.94,0,8.96,0,2304,Khan,40.3
23-05,27.27,18.18,30.3,6.06,9.09,0,9.09,0,2305,Untermeyer,30.3
23-06,32.56,20.93,6.98,9.3,13.95,2.33,13.95,0,2306,Krasner,32.56
23-07,32.65,14.29,12.24,10.2,16.33,0,14.29,0,2307,Krasner,32.65
23-08,15.25,25.42,8.47,11.86,18.64,1.69,18.64,0,2308,Khan,25.42
23-09,19.77,24.42,12.79,11.63,20.93,2.33,8.14,0,2309,Khan,24.42
23-10,24.53,23.58,7.55,14.15,18.87,1.89,9.43,0,2310,Krasner,24.53
23-11,38.3,14.89,6.38,21.28,8.51,4.26,6.38,0,2311,Krasner,38.3
23-12,35.71,10.71,10.71,17.86,14.29,0,10.71,0,2312,Krasner,35.71
23-13,25.66,23.89,4.42,7.08,16.81,2.65,19.47,0,2313,Krasner,25.66
23-14,8.62,22.41,10.34,3.45,15.52,3.45,36.21,0,2314,O'Neill,36.21
23-15,34.38,18.75,0,0,6.25,3.13,37.5,0,2315,O'Neill,37.5
23-16,18.31,8.45,5.63,8.45,7.04,0,52.11,0,2316,O'Neill,52.11
23-17,33.85,16.92,4.62,12.31,10.77,0,21.54,0,2317,Krasner,33.85
23-18,31.34,19.4,7.46,14.93,17.91,0,8.96,0,2318,Krasner,31.34
23-19,19.64,14.29,3.57,21.43,12.5,1.79,26.79,0,2319,O'Neill,26.79
23-20,23.88,17.91,1.49,19.4,11.94,4.48,20.9,0,2320,Krasner,23.88
23-21,23.33,16.67,13.33,12.22,10,3.33,21.11,0,2321,Krasner,23.33
23-22,23.53,20.59,5.88,2.94,26.47,2.94,17.65,0,2322,Negrin,26.47
23-23,21.43,14.29,7.14,0,14.29,0,42.86,0,2323,O'Neill,42.86
24-01,57.47,18.39,3.45,4.6,11.49,0,4.6,0,2401,Krasner,57.47
24-02,36.49,12.16,10.81,14.86,21.62,0,4.05,0,2402,Krasner,36.49
24-03,42.72,11.65,14.56,11.65,14.56,0,4.85,0,2403,Krasner,42.72
24-04,40.3,14.93,10.45,23.88,7.46,1.49,1.49,0,2404,Krasner,40.3
24-05,76.22,11.19,1.4,3.5,6.29,0,1.4,0,2405,Krasner,76.22
