OBJECTID_1,TotalPop,PctMen,PctWomen,MedAge,MedAgeMen,MedAgeWomen,PctWhite,PctBlack,PctNative,PctAsian,PctPacIsl,PctOther,PctTwoPlus,PctForeignBorn,PctLatino,MedHHincome,PctPoverty,PctEmployed,PctHS,PctAss,PctBac,PctMas,PctProf,PctDoc,Count_,Sum_Krasner,Sum_Khan,Sum_Untermeyer,Sum_El_Shabazz,Sum_Negrin,Sum_Deni,Sum_O_Neill,Sum_Write_In,Sum_Total,Pct_Krasner,Pct_Khan,Pct_Untermeyer,Pct_El_Shabazz,Pct_Negrin,Pct_Deni,Pct_ONeill,Pct_Write_In
290,3925,0.513900000000000,0.486100000000000,33.399999999999999,33.299999999999997,33.600000000000001,0.764585987000000,0.162802548000000,0,0,0,0.055031847000000,0,0.086400000000000,0.070800000000000,61011,0.141400000000000,0.422400000000000,0.380000000000000,0.061000000000000,0.132400000000000,0.047700000000000,0.003800000000000,0.004200000000000,4,23,29,21,7,57,7,25,0,169,13.609467455621301,17.159763313609467,12.426035502958580,4.142011834319527,33.727810650887577,4.142011834319527,14.792899408284024,0.000000000000000
291,3118,0.422100000000000,0.577900000000000,56.299999999999997,54.700000000000003,58.399999999999999,0.553880693000000,0.120910840000000,0,0,0,0.002886466000000,0,0.327100000000000,0.018000000000000,52636,0.117600000000000,0.394500000000000,0.336000000000000,0.040200000000000,0.205000000000000,0.079600000000000,0.015400000000000,0.006400000000000,2,13,36,18,5,24,5,13,0,114,11.403508771929824,31.578947368421051,15.789473684210526,4.385964912280701,21.052631578947366,4.385964912280701,11.403508771929824,0.000000000000000
292,5147,0.499500000000000,0.500500000000000,32.700000000000003,25.600000000000001,35.899999999999999,0.113658442000000,0.695745094000000,0,0,0,0.049931999000000,0,0.195300000000000,0.128600000000000,39422,0.286100000000000,0.428800000000000,0.240000000000000,0.121000000000000,0.081600000000000,0.015200000000000,0.011100000000000,0.002700000000000,4,116,52,15,86,42,1,8,1,321,36.137071651090338,16.199376947040498,4.672897196261682,26.791277258566975,13.084112149532709,0.311526479750779,2.492211838006230,0.311526479750779
293,3096,0.418900000000000,0.581100000000000,40.700000000000003,39.100000000000001,44.100000000000001,0.050064599000000,0.888242894000000,0,0,0,0.026485788000000,0,0.118200000000000,0.030400000000000,47402,0.154700000000000,0.391100000000000,0.167600000000000,0.091400000000000,0.219600000000000,0.045900000000000,0.000000000000000,0.016900000000000,3,261,73,18,88,34,3,4,0,481,54.261954261954259,15.176715176715177,3.742203742203742,18.295218295218298,7.068607068607069,0.623700623700624,0.831600831600832,0.000000000000000
294,3487,0.441600000000000,0.558400000000000,30.300000000000001,27.699999999999999,31.100000000000001,0.059650129000000,0.782907944000000,0,0,0,0.000000000000000,0,0.163200000000000,0.019200000000000,23391,0.410700000000000,0.325500000000000,0.304500000000000,0.052000000000000,0.039100000000000,0.010500000000000,0.000000000000000,0.006700000000000,4,78,29,22,63,23,1,25,0,241,32.365145228215766,12.033195020746888,9.128630705394190,26.141078838174277,9.543568464730290,0.414937759336100,10.373443983402490,0.000000000000000
295,6777,0.436900000000000,0.563100000000000,29.199999999999999,28.300000000000001,29.699999999999999,0.127047366000000,0.754316069000000,0,0,0,0.006787664000000,0,0.224300000000000,0.034100000000000,32044,0.343500000000000,0.343400000000000,0.343500000000000,0.054300000000000,0.054300000000000,0.025300000000000,0.000000000000000,0.003500000000000,8,119,64,22,95,45,3,60,0,408,29.166666666666668,15.686274509803921,5.392156862745098,23.284313725490197,11.029411764705882,0.735294117647059,14.705882352941178,0.000000000000000
296,4335,0.489000000000000,0.511000000000000,37.200000000000003,32.600000000000001,41.500000000000000,0.030219146000000,0.930565167000000,0,0,0,0.000000000000000,0,0.110000000000000,0.018500000000000,29700,0.341900000000000,0.324600000000000,0.415300000000000,0.045500000000000,0.067900000000000,0.027300000000000,0.000000000000000,0.011900000000000,7,232,82,90,130,46,8,6,0,594,39.057239057239059,13.804713804713806,15.151515151515152,21.885521885521886,7.744107744107744,1.346801346801347,1.010101010101010,0.000000000000000
297,5890,0.487400000000000,0.512600000000000,34.299999999999997,34.000000000000000,34.700000000000003,0.612563667000000,0.239728353000000,0,0,0,0.015280136000000,0,0.073700000000000,0.036300000000000,81250,0.096800000000000,0.575600000000000,0.151300000000000,0.025900000000000,0.305100000000000,0.157200000000000,0.116100000000000,0.062700000000000,6,496,483,42,45,142,16,26,0,1250,39.680000000000000,38.640000000000001,3.360000000000000,3.600000000000000,11.360000000000001,1.280000000000000,2.080000000000000,0.000000000000000
298,4107,0.459200000000000,0.540800000000000,34.899999999999999,33.500000000000000,36.100000000000001,0.013878744000000,0.962016070000000,0,0,0,0.002434867000000,0,0.115900000000000,0.012400000000000,23833,0.322000000000000,0.364000000000000,0.398100000000000,0.079700000000000,0.059000000000000,0.024700000000000,0.000000000000000,0.000000000000000,6,156,64,80,92,45,3,16,0,456,34.210526315789473,14.035087719298245,17.543859649122805,20.175438596491226,9.868421052631579,0.657894736842105,3.508771929824561,0.000000000000000
299,2017,0.537400000000000,0.462600000000000,32.299999999999997,33.000000000000000,31.899999999999999,0.925136341000000,0.009419931000000,0,0,0,0.014377789000000,0,0.080300000000000,0.048100000000000,73879,0.067400000000000,0.743700000000000,0.037700000000000,0.019800000000000,0.338900000000000,0.235300000000000,0.159200000000000,0.042200000000000,2,251,126,29,2,50,5,6,0,469,53.518123667377402,26.865671641791046,6.183368869936034,0.426439232409382,10.660980810234541,1.066098081023454,1.279317697228145,0.000000000000000
