"DistName",County,Precinct,King,Smucker,WriteIn,Total,KingPct,SmuckPct,WIPct
"4901",Lancaster,Hempfield East Twp - Barrcrest Dist,307,202,,509,60.31,39.69,0.00
"4902",Lancaster,Hempfield East Twp - Centerville Dist,510,601,1,1112,45.86,54.05,0.09
"4903",Lancaster,Hempfield East Twp - Cherry Hill Dist,268,234,,502,53.39,46.61,0.00
"4904",Lancaster,Hempfield East Twp - Chestnut Ridge Dist,678,540,4,1222,55.48,44.19,0.33
"4905",Lancaster,Hempfield East Twp - Friendly Dist,302,230,,532,56.77,43.23,0.00
"4906",Lancaster,Hempfield East Twp - Spring Dist,488,523,,1011,48.27,51.73,0.00
"4907",Lancaster,Hempfield East Twp - Hempland Dist,207,209,,416,49.76,50.24,0.00
"4908",Lancaster,Hempfield East Twp - Indian Springs Dist,417,434,,851,49.00,51.00,0.00
"4909",Lancaster,Hempfield East Twp - Kings District,314,334,,648,48.46,51.54,0.00
"4911",Lancaster,Hempfield East Twp - Landisville Dist,423,446,,869,48.68,51.32,0.00
"4912",Lancaster,Hempfield East Twp - Millcreek Dist,445,498,,943,47.19,52.81,0.00
"4913",Lancaster,Hempfield East Twp - Petersburg Dist,232,443,,675,34.37,65.63,0.00
"4914",Lancaster,Hempfield East Twp - Pleasant View Dist,568,446,,1014,56.02,43.98,0.00
"4915",Lancaster,Hempfield East Twp - Rohrerstown Dist,509,413,,922,55.21,44.79,0.00
"4916",Lancaster,Hempfield East Twp - Scotland Dist,421,537,,958,43.95,56.05,0.00
"5001",Lancaster,Hempfield West Twp - Chestnut Hill Dist,529,539,,1068,49.53,50.47,0.00
"5002",Lancaster,Hempfield West Twp - Farmdale Dist,482,662,,1144,42.13,57.87,0.00
"5003",Lancaster,Hempfield West Twp - Ironville Dist,424,550,1,975,43.49,56.41,0.10
"5004",Lancaster,Hempfield West Twp - Silver Spring Dist,352,561,2,915,38.47,61.31,0.22
"5005",Lancaster,Hempfield West Twp - Oyster Point Dist,574,648,2,1224,46.90,52.94,0.16
"5006",Lancaster,Hempfield West Twp - Highland Park Dist,330,316,,646,51.08,48.92,0.00
"5007",Lancaster,Hempfield West Twp - Salunga Dist,374,481,2,857,43.64,56.13,0.23
"5101",Lancaster,Lampeter East Twp - 1st Dist,417,545,,962,43.35,56.65,0.00
"5102",Lancaster,Lampeter East Twp - 2nd Dist,432,540,,972,44.44,55.56,0.00
"5103",Lancaster,Lampeter East Twp - 3rd Dist,206,483,,689,29.90,70.10,0.00
"5104",Lancaster,Lampeter East Twp - 4th Dist,381,315,2,698,54.58,45.13,0.29
"5105",Lancaster,Lampeter East Twp - 5th Dist,362,322,1,685,52.85,47.01,0.15
"5106",Lancaster,Lampeter East Twp - 6th Dist,238,347,,585,40.68,59.32,0.00
"5107",Lancaster,Lampeter East Twp - 7th Dist,320,674,2,996,32.13,67.67,0.20
"5108",Lancaster,Lampeter East Twp - 8th Dist,471,369,,840,56.07,43.93,0.00
"5201",Lancaster,Lampeter West Twp - Lampeter Dist,376,661,3,1040,36.15,63.56,0.29
"5202",Lancaster,Lampeter West Twp - Lyndon Dist,402,577,,979,41.06,58.94,0.00
"5203",Lancaster,Lampeter West Twp - Willow Street Dist,485,733,,1218,39.82,60.18,0.00
"5204",Lancaster,Lampeter West Twp - Locust Dist,609,832,,1441,42.26,57.74,0.00
"5205",Lancaster,Lampeter West Twp - Millport Dist,448,631,,1079,41.52,58.48,0.00
"5206",Lancaster,Lampeter West Twp - Lakes Dist,389,647,,1036,37.55,62.45,0.00
"5207",Lancaster,Lampeter West Twp - Windy Hill Dist,618,984,3,1605,38.50,61.31,0.19
"5301",Lancaster,Lancaster Twp - 1st Dist,357,144,,501,71.26,28.74,0.00
"5302",Lancaster,Lancaster Twp - 2nd Dist,312,93,,405,77.04,22.96,0.00
"5303",Lancaster,Lancaster Twp - 3rd Dist,316,151,1,468,67.52,32.26,0.21
"5304",Lancaster,Lancaster Twp - 4th Dist,516,242,,758,68.07,31.93,0.00
"5305",Lancaster,Lancaster Twp - 5th Dist,510,237,1,748,68.18,31.68,0.13
"5306",Lancaster,Lancaster Twp - 6th Dist,359,254,1,614,58.47,41.37,0.16
"5307",Lancaster,Lancaster Twp - 7th Dist,568,267,,835,68.02,31.98,0.00
"5308",Lancaster,Lancaster Twp - 8th Dist,817,316,1,1134,72.05,27.87,0.09
"5309",Lancaster,Lancaster Twp - 9th Dist,723,350,,1073,67.38,32.62,0.00
"5400",Lancaster,Leacock Twp,239,856,1,1096,21.81,78.10,0.09
"5501",Lancaster,Leacock Upper Twp - Bareville Dist,349,680,,1029,33.92,66.08,0.00
"5502",Lancaster,Leacock Upper Twp - Leacock Dist,272,554,,826,32.93,67.07,0.00
"5503",Lancaster,Leacock Upper Twp - Leola Dist,297,459,,756,39.29,60.71,0.00
"5600",Lancaster,Little Britain Twp,318,932,1,1251,25.42,74.50,0.08
"5701",Lancaster,Manheim Twp - 1st Dist,398,547,,945,42.12,57.88,0.00
"5702",Lancaster,Manheim Twp - 2nd Dist,426,492,1,919,46.35,53.54,0.11
"5703",Lancaster,Manheim Twp - 3rd Dist,433,363,,796,54.40,45.60,0.00
"5704",Lancaster,Manheim Twp - 4th Dist,391,392,,783,49.94,50.06,0.00
"5705",Lancaster,Manheim Twp - 5th Dist,449,426,,875,51.31,48.69,0.00
"5706",Lancaster,Manheim Twp - 6th Dist,474,551,,1025,46.24,53.76,0.00
"5707".1,Lancaster,Manheim Twp - 7th Dist - 41st,184,78,,262,70.23,29.77,0.00
"5707".2,Lancaster,Manheim Twp - 7th Dist - 96th,113,45,,158,71.52,28.48,0.00
"5708",Lancaster,Manheim Twp - 8th Dist,334,271,2,607,55.02,44.65,0.33
"5709",Lancaster,Manheim Twp - 9th Dist,371,315,,686,54.08,45.92,0.00
"5710",Lancaster,Manheim Twp - 10th Dist,521,447,,968,53.82,46.18,0.00
"5711",Lancaster,Manheim Twp - 11th Dist,381,197,,578,65.92,34.08,0.00
