Precinct,DistName,DISTID,County,King,Smucker,WriteIn,Total,KingPct,SmuckPct,WIPct,Wolf,Wagner,Glover,Krawchuk,Write In,Total,WolfPct,WagnerPct,KingWolfdiff,Clinton,Trump,Castle,Stein,Johnson,Write In,Total,ClintonPct,TrumpPct,KingClintDiff,Casey,Barletta,Gale,Kerns,Write In,SenTotal,CaseyPct,BarlettaPct,KingCaseyDiff
Akron Boro - East Dist,1101,L1101,Lancaster,275,429,2,706,38.95,60.76,0.28,281,386,10,26,0,703,39.97,54.91,-1.02,274,499,8,8,29,18,836,32.78,59.69,6.18,269,415,7,16,1,708,37.99,58.62,0.96
Akron Boro - West Dist,1102,L1102,Lancaster,389,641,0,1030,37.77,62.23,0.00,409,582,5,25,0,1021,40.06,57.00,-2.29,372,756,14,13,67,30,1252,29.71,60.38,8.05,385,612,8,22,1,1028,37.45,59.53,0.32
Christiana Boro,1200,L1200,Lancaster,155,179,0,334,46.41,53.59,0.00,160,169,3,1,0,333,48.05,50.75,-1.64,133,241,1,2,16,7,400,33.25,60.25,13.16,153,166,6,4,,329,46.50,50.46,-0.10
Columbia Boro - 1st Ward,1301,L1301,Lancaster,230,148,2,380,60.53,38.95,0.53,242,127,2,9,1,381,63.52,33.33,-2.99,330,248,3,9,31,7,628,52.55,39.49,7.98,243,128,4,8,1,384,63.28,33.33,-2.75
Columbia Boro - 4th Ward,1304,L1304,Lancaster,201,176,0,377,53.32,46.68,0.00,205,163,3,4,0,375,54.67,43.47,-1.35,237,235,1,5,16,1,495,47.88,47.47,5.44,201,166,5,6,,378,53.17,43.92,0.14
Columbia Boro - 5th Ward,1305,L1305,Lancaster,223,182,0,405,55.06,44.94,0.00,229,165,2,7,0,403,56.82,40.94,-1.76,267,263,3,7,13,3,556,48.02,47.30,7.04,233,164,3,5,,405,57.53,40.49,-2.47
Columbia Boro - 6th Ward,1306,L1306,Lancaster,323,432,0,755,42.78,57.22,0.00,351,383,5,14,0,753,46.61,50.86,-3.83,416,585,2,9,29,15,1056,39.39,55.40,3.39,338,401,8,10,,757,44.65,52.97,-1.87
Columbia Boro - 7th Ward,1307,L1307,Lancaster,276,259,1,536,51.49,48.32,0.19,292,232,3,10,0,537,54.38,43.20,-2.88,224,302,3,3,19,3,554,40.43,54.51,11.06,294,230,3,9,,536,54.85,42.91,-3.36
Columbia Boro - 9th Ward,1309,L1309,Lancaster,182,195,0,377,48.28,51.72,0.00,195,172,4,7,0,378,51.59,45.50,-3.31,199,259,2,3,21,5,489,40.70,52.97,7.58,193,174,4,8,,379,50.92,45.91,-2.65
Denver Boro,1400,L1400,Lancaster,493,872,2,1367,36.06,63.79,0.15,540,782,10,29,2,1363,39.62,57.37,-3.55,437,1150,15,16,70,21,1709,25.57,67.29,10.49,501,822,13,33,,1369,36.60,60.04,-0.53
